Country,City,Capital,Population,Winter,Summer,Year,Latitude,Longitude
Mexico,Monterrey,0,4834971,0,0,0,25.680201899999997,-100.31525859999999
Mexico,Mérida,0,1196520,0,0,0,20.967075899999998,-89.6237402
Mexico,Puebla,0,3046766,0,0,0,18.833333,-98.0
Mexico,Querétaro,0,1337686,0,0,0,20.854257500000003,-99.84756
Mexico,San Luis Potosí,0,1188221,0,0,0,22.5000001,-100.5000001
Mexico,Tijuana,0,2024994,0,0,0,32.501018800000004,-116.9646629
Mexico,Toluca,0,2386157,0,0,0,19.292545,-99.6569007
Mongolia,Ulaanbaatar,1,1477174,0,0,0,47.91846760000001,106.91770159999999
Morocco,Casablanca,0,3352399,0,0,0,33.59506270000001,-7.6187768
Morocco,Fès,0,1146967,0,0,0,34.034653399999996,-5.0161926
Morocco,Kénitra,0,1058359,0,0,0,34.26457,-6.570169
Morocco,Marrakech,0,1325571,0,0,0,31.6258257,-7.9891608
Morocco,Tanger,0,1059562,0,0,0,35.777103000000004,-5.803792
Mozambique,Maputo,1,1241702,0,0,0,-25.966213,32.56745
